a art.一(个);每一(个)
dance vi.跳舞;摇晃 n.舞
danger n.危险;危险事物
dangerous a.危险的,不安全的
dare vt.&aux.v.敢;竟敢
daring a.大胆的,勇敢的
dark a.暗的;黑色的
darling n.亲爱的人;宠儿
dash vt.使猛撞;溅 n.猛冲
data n.数据; 资料
date n.日期 vt.注…日期
daughter n.女儿
dawn n.黎明;开端 vi.破晓
day n.(一)天,白昼,白天
daylight n.白昼,日光;黎明
dead a.死的,无生命的
deadly a.致命的,死一般的
deaf a.聋的;不愿听的
deal n.买卖;待遇 vt.给予
dear a.亲爱的 int.啊
death n.死,死亡;灭亡
debate n.&vi.争论,辩论
debt n.债,债务,欠债
decade n.十年,十年期
decay vi.腐烂;衰败 n.腐烂
deceit n.欺骗,欺诈
deceive vt.欺骗,蒙蔽,行骗
December n.十二月
decent a.正派的;体面的
decide vt.决定,决心;解决
decision n.决定,决心;果断
deck n.甲板;舱面;层面
declare vt.断言;声明;表明
decorate vt.装饰,装璜,修饰
decrease vi.&n.减少,减少
deduce vt.演绎,推论,推断
deed n.行为;功绩;契约
deep a.深的;纵深的
deepen vt.加深 vi.深化
deer n.鹿
defeat vt.战胜,击败;挫败
defect n.缺点,缺陷,欠缺
defence n.防御;防务;辩护
defend vt.保卫,防守
define vt.给…下定义;限定
definite a.明确的;肯定的
definitely ad.一定地,明确地
definition n.定义,释义;定界
degree n.程度;度;学位
delay vt.推迟;耽搁;延误
delete vt.删除;擦掉
delegation n.代表团
delicate a.纤细的;易碎的
delicious a.美味的,怡人的
delight n.快乐 vt.使高兴
deliver vt.投递,送交;发表
delivery n.投递;交付;分娩
demand vt.要求;需要;询问
democracy n.民主,民主制
democratic a.民主的,民主政体的
demonstrate vt.说明;论证;表露
dense a.密集的;浓厚的
density n.密集,稠密;密度
deny vt.否定;拒绝相信
depart vi.离开,起程;出发
department n.部,司,局,处,系
departure n.离开,出发,起程
depend vi.依*,依赖;相信
dependent a.依*的,依赖的
deposit vt.使沉淀;存放
depress vt.使沮丧;按下
depth n.深度;深厚;深处
derive vt.取得 vi.起源
descend vi.下来,下降;下倾
describe vt.形容;描写,描绘
description n.描写,形容;种类
desert n.沙漠 vt.离弃;擅离
deserve vt.应受,值得
design vt.设计 n.设计;图样
desirable a.值得相望的;可取的
desire vt.相望;要求 n.愿望
desk n.书桌,办公桌
despair n.绝望 vi.绝望
desperate a.拼死的;绝望的
despise vt.鄙视,蔑视
despite prep.不管,不顾
destination n.目的地,终点;目标
destroy vt.破坏;消灭;打破
destruction n.破坏,毁灭,消灭
detail n.细节;枝节;零件
detect vt.察觉,发觉;侦察
detection n.察觉,发觉;侦察
determination n.决心;决定;确定
determine vt.决定;查明;决心
develop vt.发展;形成;开发
development n.发展;开发;生长
device n.器械,装置;设计
devil n.魔鬼,恶魔
devise vt.设计,发明
devote vt.将…奉献,致力于
dew n.露,露水
diagram n.图解,图表,简图
dial n.钟面;拨号盘 vt.拨
dialect n.方言,土语,地方话
dialog n.对话,对白
diameter n.直径
diamond n.金钢石,钻石;菱形
diary n.日记,日记簿
dictate vt.&vi.口授;命令
dictation n.口授笔录,听写
dictionary n.词典,字典
die vi.死,死亡;灭亡
differ vi.不同,相异
difference n.差别;差;分歧
different a.差异的;各种的
difficult a.困难的;难对付的
difficulty a.困难;难事;困境
dig vt.掘,挖;采掘
digest vt.消化;领会 n.文摘
digital a.数字的,计数的
diligent a.勤勉的,勤奋的
dim a.昏暗的;朦胧的
dimension n.尺寸,尺度;面积
dinner n.正餐,主餐;宴会
dip vt.浸,蘸 vi.浸一浸
direct a.直接的;直率的
direction n.方向,方位;指导
directly ad.直接地;立即
director n.指导者;理事;导演
dirt n.尘,土;污物,污垢
dirty a.脏的;下流的
disable vt.使无能,使伤残
disadvantage n.不利,不利地位
disagree vi.有分歧;不一致
disappear vi.不见,失踪;消失
disappoint vt.使失望,使受挫折
disaster n.灾难,灾祸;天灾
disk n.圆盘,唱片;磁盘
discard vt.丢弃,抛弃,遗弃
discharge vt.释放;排出 n.释放
discipline n.纪律;训练 vt.训练
disclose vt.揭开,揭发;透露
discourage vt.使泄气,使灰心
discover vt.发现;暴露,显示
discovery n.发现;被发现的事物
discuss vt.讨论,谈论;论述
discussion n.讨论,谈论;论述
disease n.病,疾病;病害
disguise vi.隐瞒,掩埋 n.假装
disgust n.厌恶,憎恶
dish n.碟,盘子;菜肴
dishonour n.不光彩;丢脸的人
dislike vt.&n.不喜爱,厌恶
dismiss vt.不再考虑;解雇
disorder n.混乱,杂乱;骚乱
display vt.陈列,展览;显示
disposal n.丢掉,处理,销毁
dispose vi.去掉,丢掉;销毁
displease vt.使不愉快,使生气
dispute vi.争论,争执 n.争论
dissatisfy vi.使不满,使不平
dissolve vt.使溶解;解散
distance n.距离,间距;远处
distant a.在远处的,疏远的
distinct a.与其他不同的
distinction n.差别,不同,区分
distinguish vt.区别,辨别,认别
distress n.忧虑,悲伤;不幸
distribute vt.分发,分送;分布
distribution n.分发,分配;分布
district n.区;地区,区域
disturb vt.打扰,扰乱;弄乱
ditch n.沟,沟渠,渠道
dive vi.跳水;潜水;俯冲
diverse a.不一样的,相异的
divide vt.分;分配;分开
division n.分,分配;除法
divorce n.离婚,离异 vi.离婚
do aux.v. vt.做,干,办
dock n.船坞;码头;船厂
doctor n.医生,医师;博士
document n.公文,文件;证件
dog n.狗,犬,犬科动物
dollar n.元(货币单位)
domestic a.本国的;家庭的
donkey n.驴;笨蛋
door n.门,通道;一家
dorm n.宿舍
dormitory n.集体寝室;宿舍
dose n.剂量,用量;一剂
dot n.点,圆点 vt.打点于
double a.两倍的;双的
doubt n.怀疑;疑虑 vt.怀疑
doubtful a.难以预测的;怀疑的
doubtless ad.无疑地;很可能
down ad.向下,在下面
downstairs ad.在楼下 a.楼下的
downward a.向下的 ad.向下地
dozen n.一打,十二个
draft n.草稿;汇票 vt.起草
drag vt.拖,拉;拖曳
dragon n.龙;凶暴的人
drain vt.排去;放水 n.耗竭
drama n.一出戏剧,剧本
dramatic a.引人注目的,戏剧的
draw vt.画,划;拖;拨出
drawer n.抽屉
drawing n.图画,素描;绘图
dread n.畏惧;恐怖 vt.惧怕
dream n.梦;梦想 vi.做梦
dress n.女服,童装;服装
drift vi.漂流,漂泊 n.漂流
drill n.钻头;操练 vi.钻孔
drink vt.饮 vi.喝 n.饮料
drip vi.滴下;漏水 n.水滴
drive vt.驾驶;打入;驱
driver n.驾驶员,司机
drop vt.使落下;降低
drought n.旱灾,干旱
drown vi.淹死,溺死
drug n.药,药物,药材
drum n.鼓;鼓状物,圆桶
drunk a.醉的;陶醉的
dry a.干的,干燥的
duck n.鸭,雌鸭;鸭肉
due a.预期的;应给的
dull a.枯燥的;不鲜明的
dumb a.哑的;无言的
dump vt.倾卸,倾倒;倾销
durable a.耐久的,耐用的
duration n.持续,持久
during prep.在…期间
dusk n.薄暮,黄昏,幽暗
dust n.尘土,灰尘
duty n.职责;责任;税
dwelling n.住处,寓所
dye vt.染 n.染料;染色
dying a.垂死的;临终的
dynamic a.有活力的;动力的
each pron.各,各自 a.各
eager a.渴望的,热切的
eagle n.鹰
ear n.耳朵;听力,听觉
early ad.早 a.早的,早期的
earn vt.赚得,挣得;获得
earnest a.认真的,诚恳的
earth n.地球;陆地,地面
earthquake n.地震;大震荡
ease n.容易,舒适 vt.缓和
easily ad.容易地;舒适的
east n.东;东部 ad.在东方
eastern a.东方的;朝东的
easy a.容易的;安逸的
eat vt.吃,喝 vi.吃饭
echo n.回声,反响 vi.重复
economic a.经济的,经济学的
economical a.节约的;经济学的
economy n.经济;节约,节省
edge n.边缘,边;刀口
edition n.版,版本,版次
editor n.编辑,编者,校订者
educate vt.教育;培养;训练
education n.教育;训导;教育学
effect n.结果;效果,效力
effective a.有效的;有影响的
efficiency n.效率;功效,效能
efficient a.效率高的,有能力的
effort n.努力;努力的成果
egg n.蛋,鸡蛋,卵
eight num.八,八个,第八
eighteen num.十八,十八个
eighth num.第八 n.八分之一
eighty num.八十,八十个
either pron.(两者)任何一个
elaborate a.复杂的;精心制作的
elastic n.松紧带 a.有弹性的
elbow n.肘,肘部;弯管
elder a.年龄较大的 n.长者
elect vt.选举,推选;选择
election n.选举,选择权;当选
electric a.电的,电动的
electrical a.电的,电气科学的
electricity n.电,电学;电流
electron n.电子
electronic a.电子的
electronics n.电子学
element n.成分;要素;元素
elementary a.基本的;初级的
elephant n.象
elevator n.电梯;升降机
eleven num.十一,十一个
eleventh num.第十一(个)
eliminate vt.消灭,消除,排除
elimination n.消灭,排除,消除
else ad.其它,另外 a.别的
elsewhere ad.在别处,向别处
embarrass vt.使窘迫,使为难
embrace vt.拥抱;包括;包围
emerge vi.出现,涌现;冒出
emergency n.紧急情况,突然事件
emit vt.散发;发射;发表
emotion n.情感,感情;激动
emotional a.感情的,情绪的
emperor n.皇帝
emphasis n.强调,重点,重要性
emphasize vt.强调,着重
empire n.帝国
employ vi.雇用;用;使忙于
employee n.受雇者,雇员,雇工
employer n.雇佣者,雇主
employment n.工业;雇用;使用
empty a.空的;空洞的
enable vt.使能够,使可能
enclose vt.围住,圈起;附上
encounter vt.遭遇,遇到 n.遭遇
encourage vt.鼓励,支持,助长
end n.末端;目标 vt.结束
ending n.结尾,结局;死亡
endless a.无止境的
endure vt.忍受;容忍
enemy n.敌人;仇敌;敌兵
energy n.活力;精力;能
enforce vt.实施,执行;强制
engage vt.使从事于;聘用
engine n.发动机,引擎;机车
engineer n.工程师,技师
engineering n.工程,工程学
England n.英格兰;英国
English n.英语 a.英国人的
Englishman n.英国男子
enjoy vt.享受;欣赏,喜爱
enlarge vt.扩大,扩展;放大
enormous a.巨大的,庞大的
enough a.足够的 ad.足够地
ensure vt.保证;保护;赋予
enter vt.走进,进入;参加
entertain vt.使欢乐;招待
enthusiasm n.热情,热心,热忱
enthusiastic a.热情的,热心的
entire a.全部的,整个的
entitle vt.给…权利(或资格)
entrance n.入口,门口;进入
entry n.入口处;登记;进入
